m,L,owner_p,owner_q,owner_sign,matched
2,1,,,,False
3,2,,,,False
4,2,,,,False
5,3,,,,False
6,3,,,,False
7,3,1,2,+1,True
8,4,,,,False
9,4,1,2,+1,True
10,5,,,,False
11,5,1,2,+1,True
12,5,1,2,+1,True
13,6,1,2,+1,True
14,6,1,2,+1,True
15,7,1,2,+1,True
16,7,1,2,+1,True
17,8,1,2,+1,True
18,8,1,2,+1,True
19,8,,,,False
20,9,1,2,+1,True
21,9,,,,False
22,10,1,2,+1,True
23,10,,,,False
24,10,,,,False
25,11,,,,False
26,11,,,,False
27,12,,,,False
28,12,,,,False
29,13,,,,False
30,13,,,,False
31,13,,,,False
32,14,,,,False
33,14,,,,False
34,15,,,,False
35,15,,,,False
36,15,,,,False
37,16,,,,False
38,16,,,,False
39,17,,,,False
40,17,,,,False
41,18,,,,False
42,18,,,,False
43,18,,,,False
44,19,,,,False
45,19,,,,False
46,20,,,,False
47,20,,,,False
48,20,,,,False
49,21,,,,False
50,21,,,,False
51,22,,,,False
52,22,,,,False
53,22,5,12,+1,True
54,23,,,,False
55,23,,,,False
56,24,,,,False
57,24,,,,False
58,25,,,,False
59,25,,,,False
60,25,,,,False
61,26,,,,False
62,26,,,,False
63,27,,,,False
64,27,,,,False
65,27,5,12,+1,True
66,28,,,,False
67,28,,,,False
68,29,,,,False
69,29,,,,False
70,30,,,,False
71,30,,,,False
72,30,,,,False
73,31,,,,False
74,31,,,,False
75,32,,,,False
76,32,,,,False
77,32,5,12,+1,True
78,33,,,,False
79,33,,,,False
80,34,,,,False
81,34,,,,False
82,35,,,,False
83,35,,,,False
84,35,,,,False
85,36,,,,False
86,36,,,,False
87,37,,,,False
88,37,,,,False
89,37,5,12,+1,True
90,38,,,,False
91,38,,,,False
92,39,,,,False
93,39,,,,False
94,40,,,,False
95,40,,,,False
96,40,,,,False
97,41,,,,False
98,41,,,,False
99,42,,,,False
100,42,,,,False
101,42,5,12,+1,True
102,43,,,,False
103,43,,,,False
104,44,,,,False
105,44,,,,False
106,44,5,12,+1,True
107,45,,,,False
108,45,,,,False
109,46,,,,False
110,46,,,,False
111,47,,,,False
112,47,,,,False
113,47,5,12,+1,True
114,48,,,,False
115,48,,,,False
116,49,,,,False
117,49,,,,False
118,49,5,12,+1,True
119,50,,,,False
120,50,,,,False
121,51,,,,False
122,51,,,,False
123,52,,,,False
124,52,,,,False
125,52,5,12,+1,True
126,53,,,,False
127,53,,,,False
128,54,,,,False
129,54,,,,False
130,54,5,12,+1,True
131,55,,,,False
132,55,,,,False
133,56,,,,False
134,56,,,,False
135,57,,,,False
136,57,,,,False
137,57,5,12,+1,True
138,58,,,,False
139,58,,,,False
140,59,,,,False
141,59,,,,False
142,59,5,12,+1,True
143,60,,,,False
144,60,,,,False
145,61,,,,False
146,61,,,,False
147,62,,,,False
148,62,,,,False
149,62,5,12,+1,True
150,63,,,,False
151,63,,,,False
152,64,,,,False
153,64,,,,False
154,64,5,12,+1,True
155,65,,,,False
156,65,,,,False
157,66,,,,False
158,66,,,,False
159,66,5,12,+1,True
160,67,,,,False
161,67,5,12,+1,True
162,68,,,,False
163,68,,,,False
164,69,,,,False
165,69,,,,False
166,69,5,12,+1,True
167,70,,,,False
168,70,,,,False
169,71,,,,False
170,71,,,,False
171,71,5,12,+1,True
172,72,,,,False
173,72,5,12,+1,True
174,73,,,,False
175,73,,,,False
176,74,,,,False
177,74,,,,False
178,74,5,12,+1,True
179,75,,,,False
180,75,,,,False
181,76,,,,False
182,76,,,,False
183,76,5,12,+1,True
184,77,,,,False
185,77,5,12,+1,True
186,78,,,,False
187,78,,,,False
188,79,,,,False
189,79,,,,False
190,79,5,12,+1,True
191,80,,,,False
192,80,,,,False
193,81,,,,False
194,81,,,,False
195,81,5,12,+1,True
196,82,,,,False
197,82,5,12,+1,True
198,83,,,,False
199,83,,,,False
200,84,,,,False
201,84,,,,False
202,84,5,12,+1,True
203,85,,,,False
204,85,,,,False
205,86,,,,False
206,86,,,,False
207,86,5,12,+1,True
208,87,,,,False
209,87,5,12,+1,True
210,88,,,,False
211,88,,,,False
212,88,5,12,+1,True
213,89,,,,False
214,89,5,12,+1,True
215,90,,,,False
216,90,,,,False
217,91,,,,False
218,91,,,,False
219,91,5,12,+1,True
220,92,,,,False
221,92,5,12,+1,True
222,93,,,,False
223,93,,,,False
224,93,5,12,+1,True
225,94,,,,False
226,94,5,12,+1,True
227,95,,,,False
228,95,,,,False
229,96,,,,False
230,96,,,,False
231,96,5,12,+1,True
232,97,,,,False
233,97,5,12,+1,True
234,98,,,,False
235,98,,,,False
236,98,5,12,+1,True
237,99,,,,False
238,99,5,12,+1,True
239,100,,,,False
240,100,,,,False
241,101,,,,False
242,101,,,,False
243,101,5,12,+1,True
244,102,,,,False
245,102,5,12,+1,True
246,103,,,,False
247,103,,,,False
248,103,5,12,+1,True
249,104,,,,False
250,104,5,12,+1,True
251,105,,,,False
252,105,,,,False
253,106,,,,False
254,106,,,,False
255,106,5,12,+1,True
256,107,,,,False
257,107,5,12,+1,True
258,108,,,,False
259,108,,,,False
260,108,5,12,+1,True
261,109,,,,False
262,109,5,12,+1,True
263,110,,,,False
264,110,,,,False
265,110,5,12,+1,True
266,111,,,,False
267,111,5,12,+1,True
268,112,,,,False
269,112,5,12,+1,True
270,113,,,,False
271,113,,,,False
272,113,5,12,+1,True
273,114,,,,False
274,114,5,12,+1,True
275,115,,,,False
276,115,,,,False
277,115,5,12,+1,True
278,116,,,,False
279,116,5,12,+1,True
280,117,,,,False
281,117,5,12,+1,True
282,118,,,,False
283,118,,,,False
284,118,5,12,+1,True
285,119,,,,False
286,119,5,12,+1,True
287,120,,,,False
288,120,,,,False
289,120,5,12,+1,True
290,121,,,,False
291,121,5,12,+1,True
292,122,,,,False
293,122,5,12,+1,True
294,123,,,,False
295,123,,,,False
296,123,5,12,+1,True
297,124,,,,False
298,124,5,12,+1,True
299,125,,,,False
300,125,,,,False
