label,m,k_star_1idx,L,g_loop_at_kstar,min_prefix_cost_congruence_only,margin_ok,floor_holds,one_point_tight,replay_ok,argmin_a_seq
true-word,4,4,2,2,2,True,True,True,True,"2,2,2,2"
true-word,5,5,3,3,3,True,True,True,True,"2,2,2,2,2"
true-word,6,6,3,3,3,True,True,True,True,"2,2,2,2,2,2"
true-word,7,7,3,3,3,True,True,True,True,"2,2,2,2,2,2,2"
true-word,8,8,4,4,4,True,True,True,True,"2,2,2,2,2,2,2,2"
true-word,9,9,4,4,4,True,True,True,True,"2,2,2,2,2,2,2,2,2"
true-word,10,10,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2"
true-word,11,11,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2"
true-word,12,12,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2"
true-word,13,13,6,6,6,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,16,16,7,7,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,20,20,9,9,9,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,24,24,10,10,10,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,28,28,12,12,12,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
true-word,29,29,13,13,12,True,False,False,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1"
true-word,30,30,13,13,12,True,False,False,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1"
true-word,31,31,13,13,11,True,False,False,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2"
true-word,32,32,14,14,12,True,False,False,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2"
true-word,33,33,14,14,12,True,False,False,True,"2,2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2"
true-word,34,34,15,15,12,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2"
true-word,35,35,15,15,12,True,False,False,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2"
golden-per8,4,4,2,2,2,True,True,True,True,"2,2,2,2"
golden-per8,5,5,2,2,2,True,True,True,True,"2,2,2,2,2"
golden-per8,6,6,3,3,3,True,True,True,True,"2,2,2,2,2,2"
golden-per8,7,7,3,3,3,True,True,True,True,"2,2,2,2,2,2,2"
golden-per8,8,8,3,3,3,True,True,True,True,"2,2,2,2,2,2,2,2"
golden-per8,9,9,4,4,4,True,True,True,True,"2,2,2,2,2,2,2,2,2"
golden-per8,10,10,4,4,4,True,True,True,True,"2,2,2,2,2,2,2,2,2,2"
golden-per8,11,11,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2"
golden-per8,12,12,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,13,13,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,16,16,6,6,6,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,20,20,8,8,8,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,24,24,9,9,9,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,28,28,11,11,11,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,29,29,11,11,11,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
golden-per8,30,30,12,12,11,True,False,False,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1"
golden-per8,31,31,12,12,11,True,False,False,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1"
golden-per8,32,32,12,12,10,True,False,False,True,"4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2,2"
