C,rho,C_mod_22,C_mod_53,C_mod_75
1,2.857725078091e-02,1,1,1
2,6.069702389140e-01,2,2,2
3,9.262218547904e-01,3,3,3
4,9.611416737736e-01,4,4,4
5,9.634005917806e-01,5,5,5
10,9.635044131614e-01,10,10,10
23,9.635044131620e-01,1,23,23
24,9.635044131620e-01,2,24,24
25,9.635044131620e-01,3,25,25
26,9.635044131620e-01,4,26,26
27,9.635044131620e-01,5,27,27
32,9.635044131620e-01,10,32,32
45,9.635044131620e-01,1,45,45
46,9.635044131620e-01,2,46,46
47,9.635044131620e-01,3,47,47
48,9.635044131620e-01,4,48,48
49,9.635044131620e-01,5,49,49
54,9.635044131620e-01,10,1,54
55,9.635044131620e-01,11,2,55
56,9.635044131620e-01,12,3,56
57,9.635044131620e-01,13,4,57
58,9.635044131620e-01,14,5,58
63,9.635044131620e-01,19,10,63
67,9.635044131620e-01,1,14,67
68,9.635044131620e-01,2,15,68
69,9.635044131620e-01,3,16,69
70,9.635044131620e-01,4,17,70
71,9.635044131620e-01,5,18,71
76,9.635044131620e-01,10,23,1
77,9.635044131620e-01,11,24,2
78,9.635044131620e-01,12,25,3
79,9.635044131620e-01,13,26,4
80,9.635044131620e-01,14,27,5
85,9.635044131620e-01,19,32,10
107,9.635044131620e-01,19,1,32
108,9.635044131620e-01,20,2,33
109,9.635044131620e-01,21,3,34
110,9.635044131620e-01,0,4,35
111,9.635044131620e-01,1,5,36
116,9.635044131620e-01,6,10,41
151,9.635044131620e-01,19,45,1
152,9.635044131620e-01,20,46,2
153,9.635044131620e-01,21,47,3
154,9.635044131620e-01,0,48,4
155,9.635044131620e-01,1,49,5
160,9.635044131620e-01,6,1,10
161,9.635044131620e-01,7,2,11
162,9.635044131620e-01,8,3,12
163,9.635044131620e-01,9,4,13
164,9.635044131620e-01,10,5,14
169,9.635044131620e-01,15,10,19
