family,m,mod_target,target_r,D_actual,model_prediction,best_ray
golden-per8,2,27,5,1,0,+1
golden-per8,2,27,7,2,0,+1
golden-per8,2,27,8,0,-2,-1
golden-per8,2,81,5,1,0,+1
golden-per8,2,81,7,2,0,+1
golden-per8,2,81,8,0,-2,-1
golden-per8,3,27,2,0,1,+1
golden-per8,3,27,7,3,1,+1
golden-per8,3,27,14,2,1,+1
golden-per8,3,27,17,0,1,+1
golden-per8,3,27,19,2,1,+1
golden-per8,3,27,22,0,1,+1
golden-per8,3,27,23,3,1,+1
golden-per8,3,27,25,4,1,+1
golden-per8,3,27,26,0,-3,-1
golden-per8,3,81,2,0,1,+1
golden-per8,3,81,7,3,1,+1
golden-per8,3,81,14,2,1,+1
golden-per8,3,81,17,0,1,+1
golden-per8,3,81,19,2,1,+1
golden-per8,3,81,22,0,1,+1
golden-per8,3,81,23,3,1,+1
golden-per8,3,81,25,4,1,+1
golden-per8,3,81,26,0,-3,-1
golden-per8,4,27,2,0,1,+1
golden-per8,4,27,17,0,1,+1
golden-per8,4,27,22,0,1,+1
golden-per8,4,27,23,3,1,+1
golden-per8,4,81,2,0,1,+1
golden-per8,4,81,17,0,1,+1
golden-per8,4,81,22,0,1,+1
golden-per8,4,81,23,3,1,+1
golden-per8,4,81,35,2,1,+1
golden-per8,4,81,37,0,1,+1
golden-per8,4,81,41,2,1,+1
golden-per8,4,81,44,0,1,+1
golden-per8,4,81,46,2,1,+1
golden-per8,4,81,52,4,1,+1
golden-per8,4,81,58,3,1,+1
golden-per8,4,81,61,3,1,+1
golden-per8,4,81,70,2,1,+1
golden-per8,4,81,74,0,1,+1
golden-per8,4,81,80,0,-4,-1
golden-per8,5,27,2,1,2,+1
golden-per8,5,27,23,4,2,+1
golden-per8,5,81,2,1,2,+1
golden-per8,5,81,23,4,2,+1
golden-per8,5,81,35,3,2,+1
golden-per8,5,81,46,3,2,+1
golden-per8,5,81,61,4,2,+1
golden-per8,6,27,2,1,2,+1
golden-per8,6,27,23,4,2,+1
golden-per8,6,81,2,1,2,+1
golden-per8,6,81,23,4,2,+1
golden-per8,6,81,35,3,2,+1
golden-per8,6,81,46,3,2,+1
golden-per8,6,81,80,1,2,+1
golden-per8,7,27,2,1,2,+1
golden-per8,7,81,2,1,2,+1
golden-per8,8,27,2,2,3,+1
golden-per8,8,81,2,2,3,+1
golden-per8,9,27,2,2,3,+1
golden-per8,9,81,2,2,3,+1
golden-per8,10,27,2,2,3,+1
golden-per8,10,81,2,2,3,+1
sqrt2-per12,2,27,2,0,1,+1
sqrt2-per12,2,27,4,0,1,+1
sqrt2-per12,2,27,5,2,1,+1
sqrt2-per12,2,27,7,3,1,+1
sqrt2-per12,2,27,8,0,-2,-1
sqrt2-per12,2,81,2,0,1,+1
sqrt2-per12,2,81,4,0,1,+1
sqrt2-per12,2,81,5,2,1,+1
sqrt2-per12,2,81,7,3,1,+1
sqrt2-per12,2,81,8,0,-2,-1
sqrt2-per12,3,27,2,0,1,+1
sqrt2-per12,3,27,7,3,1,+1
sqrt2-per12,3,27,14,2,1,+1
sqrt2-per12,3,27,17,0,1,+1
sqrt2-per12,3,27,19,2,1,+1
sqrt2-per12,3,27,22,0,1,+1
sqrt2-per12,3,27,23,3,1,+1
sqrt2-per12,3,27,25,4,1,+1
sqrt2-per12,3,27,26,0,-3,-1
sqrt2-per12,3,81,2,0,1,+1
sqrt2-per12,3,81,7,3,1,+1
sqrt2-per12,3,81,14,2,1,+1
sqrt2-per12,3,81,17,0,1,+1
sqrt2-per12,3,81,19,2,1,+1
sqrt2-per12,3,81,22,0,1,+1
sqrt2-per12,3,81,23,3,1,+1
sqrt2-per12,3,81,25,4,1,+1
sqrt2-per12,3,81,26,0,-3,-1
sqrt2-per12,4,27,2,1,2,+1
sqrt2-per12,4,27,17,1,2,+1
sqrt2-per12,4,27,22,1,2,+1
sqrt2-per12,4,27,23,4,2,+1
sqrt2-per12,4,81,2,1,2,+1
sqrt2-per12,4,81,17,1,2,+1
sqrt2-per12,4,81,22,1,2,+1
sqrt2-per12,4,81,23,4,2,+1
sqrt2-per12,4,81,35,3,2,+1
sqrt2-per12,4,81,37,1,2,+1
sqrt2-per12,4,81,41,3,2,+1
sqrt2-per12,4,81,44,0,2,+1
sqrt2-per12,4,81,46,3,2,+1
sqrt2-per12,4,81,52,5,2,+1
sqrt2-per12,4,81,58,4,2,+1
sqrt2-per12,4,81,61,4,2,+1
sqrt2-per12,4,81,70,3,2,+1
sqrt2-per12,4,81,74,0,2,+1
sqrt2-per12,4,81,80,0,-4,-1
sqrt2-per12,5,27,2,2,3,+1
sqrt2-per12,5,27,23,5,3,+1
sqrt2-per12,5,81,2,2,3,+1
sqrt2-per12,5,81,23,5,3,+1
sqrt2-per12,5,81,35,4,3,+1
sqrt2-per12,5,81,46,4,3,+1
sqrt2-per12,5,81,61,5,3,+1
sqrt2-per12,6,27,2,2,3,+1
sqrt2-per12,6,27,23,5,3,+1
sqrt2-per12,6,81,2,2,3,+1
sqrt2-per12,6,81,23,5,3,+1
sqrt2-per12,6,81,35,4,3,+1
sqrt2-per12,6,81,46,4,3,+1
sqrt2-per12,6,81,80,2,3,+1
sqrt2-per12,7,27,2,3,4,+1
sqrt2-per12,7,81,2,3,4,+1
sqrt2-per12,8,27,2,3,4,+1
sqrt2-per12,8,81,2,3,4,+1
sqrt2-per12,9,27,2,4,5,+1
sqrt2-per12,9,81,2,4,5,+1
sqrt2-per12,10,27,2,4,5,+1
sqrt2-per12,10,81,2,4,5,+1
